Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Finland,B634-22B1-7AAB,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000025,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Netherlands,B0E6-AE81-1D8D,0,gibibyte,0.00,-0.00,0.00,0.00,0.000017,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Mumbai,FEF8-370E-4A22,0,gibibyte,0.00,-0.00,0.00,0.00,0.000014,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Jakarta,EBFD-2498-8EA9,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000013,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Toronto,1794-54A0-E3E7,0,gibibyte,0.00,-0.00,0.00,0.00,0.000010,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Columbus,409E-D87A-8E60,0,gibibyte,0.00,-0.00,0.00,0.00,0.000010,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions Network Internet Data Transfer Out AsiaPacific to AsiaPacific,BC0B-0B6C-D91A,0,gibibyte,0.00,-0.00,0.00,0.00,0.000008,0.00,0%
Cloud Storage,95FF-2EF5-5EA1,GCP Storage Data Transfer between Europe and Asia,EF0A-B3BA-32CA,0,gibibyte,0.00,-0.00,0.00,0.00,0.000008,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Madrid,A3D1-34AF-3200,0,gibibyte,0.00,-0.00,0.00,0.00,0.000006,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Zurich,D041-B8A1-6E0B,0.001,gibibyte,0.00,-0.00,0.00,0.00,0.000004,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Paris,0B06-3D2E-9BA7,0,gibibyte,0.00,-0.00,0.00,0.00,0.000003,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Seoul,A9B0-A282-A0ED,0,gibibyte,0.00,0.00,0.00,0.00,0.000002,0.00,0%
Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress AsiaPacfic to AsiaPacfic,2CB3-644D-F192,0,gibibyte,0.00,-0.00,0.00,0.00,0.000000,0.00,0%
Artifact Registry,149C-F9EC-3994,Artifact Registry Network Intra Region Egress,546B-E8F2-6FF5,211.173,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Artifact Registry,149C-F9EC-3994,"Artifact Registry Network Internet Egress Intercontinental (Excl Oceania, Africa and China)",72BD-5309-1C4C,0,gibibyte,0.00,-0.00,0.00,0.00,0.000000,0.00,0%
BigQuery,24E6-581D-38E5,Active Logical Storage,947D-3B46-7781,3.646,gibibyte month,0.00,0.00,0.00,0.00,0.000000,0.00,0%
BigQuery,24E6-581D-38E5,Long Term Logical Storage,993F-6B6B-DCC4,5.776,gibibyte month,0.00,0.00,0.00,0.00,0.000000,0.00,0%
BigQuery,24E6-581D-38E5,Long Term Logical Storage (asia-northeast1),D453-C414-EDA7,0.002,gibibyte month,0.00,0.00,0.00,0.00,0.000000,0.00,0%
BigQuery,24E6-581D-38E5,Long Term Logical Storage (asia-east1),F66C-C62E-214A,0.108,gibibyte month,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions Network Data Transfer Out via Carrier Peering Network - Asia Pacific Based,4729-1A1E-E608,0,gibibyte,0.00,-0.00,0.00,0.00,0.000000,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions Network HTTP Load Balancing Data Transfer Out to Load Balancer,4DCF-2E0F-52DA,89.49,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions Idle Min-Instance CPU Allocation Time in asia-east1,5AAA-5FCF-7DA0,"528,840.113",second,1.32,-0.19,-1.14,0.00,0.000000,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions Invocations,92DF-0F0E-630F,"10,179",count,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions CPU Allocation Time in asia-east1,AB4B-3507-1F33,"23,455.929",second,0.56,-0.08,-0.48,0.00,0.000000,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions (1st Gen) Network Data Transfer Out from asia-east1,B5FF-3D5A-D689,0.045,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions (1st Gen) CPU Time,C024-9C10-2A5B,"44,390.52",second,0.44,-0.06,-0.38,0.00,0.000000,0.00,0%
Cloud Run Functions,29E7-DA93-CA13,Cloud Run Functions (1st Gen) Memory Time,F01C-3EA0-06CD,"27,744.075",gibibyte second,0.07,-0.01,-0.06,0.00,0.000000,0.00,0%
Cloud Monitoring,58CD-E7C3-72CA,Monitoring API Requests,3ECE-36FE-BD9D,"461,852",Requests,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Monitoring,58CD-E7C3-72CA,Monitoring Uptime Checks,CA14-D3DE-E67F,"48,390",Count of Uptime Check executions,0.00,0.00,0.00,0.00,0.000000,0.00,0%
VM Manager,5E18-9A83-2867,VM Manager Usage (Cloud Ops),210B-55F7-AA37,"1,295",count,3.88,-0.54,-3.34,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to APAC,01C0-FA36-23A3,1.142,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Jakarta to APAC,0867-6071-590C,0.001,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Los Angeles to APAC,0A1C-375C-E8B1,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In via Carrier Peering Network - APAC Based,0B29-DA5B-5E84,245.249,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Melbourne,137E-7524-87B4,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Intra Zone Data Transfer Out,14F9-7705-2FD4,"2,398.102",gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Taiwan,1594-EACD-A2CE,"1,728.172",gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Dallas,17A1-C66E-C8C3,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Warsaw,1D1A-8E88-9BED,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Ubuntu Minimal 18.04 LTS (Bionic Beaver) (RAM cost),1D4A-1361-4B63,"5,039.013",gibibyte hour,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from APAC to APAC,212E-B31F-3BF6,"1,842.038",gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Middle East to APAC,21AA-9EF5-3222,0.001,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Dallas to APAC,245A-A74C-FA36,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Toronto to APAC,2621-1B93-0550,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Delhi to APAC,27BF-410E-3DBC,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Stockholm to APAC,2947-5261-945D,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Japan to APAC,29C9-1B02-8C80,0.002,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Dammam,2B94-11D4-C780,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from APAC to Doha,2D47-E7B1-C55D,0,gibibyte,0.00,0.00,0.00,0.00,0.000000,0.00,0%
