Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Cloud Storage,95FF-2EF5-5EA1,Autoclass Management Fee,CF60-426C-8557,"174,063,888,919,079",second,167.89,-23.50,0.00,0.00,144.381673,144.38,-2%
Networking,E505-1604-58F8,Networking Cloud Nat Gateway Uptime,32E2-4EFC-EF9F,"119,310.78",hour,167.03,-23.39,0.00,0.00,143.642341,143.64,-10%
Networking,E505-1604-58F8,Networking Cloud Cdn Cache Lookups,4762-E550-B5D2,"218,020,014",count,163.38,-22.92,0.00,0.00,140.459821,140.46,-9%
Vertex AI,C7E2-9256-1C43,Gemini 1.5 Pro Text Input - Predictions,DDF5-77FD-8CF2,"517,790,712",count,161.81,-22.65,0.00,0.00,139.154341,139.15,-75%
Compute Engine,6F81-5844-456A,Storage PD Snapshot in US,34CF-7D88-5D40,"6,158.041",gibibyte month,400.10,-262.47,0.00,0.00,137.633157,137.63,2%
Vertex AI,C7E2-9256-1C43,Vertex AI: Online/Batch Prediction N1 Predefined Instance Ram running in Americas for AI Platform,A909-7508-BAB3,"31,628.813",gibibyte hour,158.14,-22.14,0.00,0.00,136.001210,136.00,-26%
Vertex AI,C7E2-9256-1C43,Tensorboard storage,14E8-2D8F-4C9B,15.416,gibibyte month,154.10,-21.57,0.00,0.00,132.523907,132.52,0%
Notebooks,D73B-5EEA-8215,Workbench Instances Storage for GCE usage - Balanced Persistent Disk in us-central1,47F7-F871-93E3,"1,242.907",gibibyte month,149.11,-20.88,0.00,0.00,128.236375,128.24,141%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Los Angeles to Americas,EB55-92E0-41A2,"1,451.688",gibibyte,169.80,-42.45,0.00,0.00,127.350436,127.35,8806%
Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Basic M2 Iowa/South Carolina/Oregon,BF59-06FF-4968,"5,374.958",gibibyte hour,145.12,-20.32,0.00,0.00,124.806099,124.81,-10%
Compute Engine,6F81-5844-456A,Spot Preemptible N2 Instance Core running in APAC,A005-73BB-9999,"18,029.458",hour,124.04,0.00,0.00,0.00,124.041985,124.04,-4%
Compute Engine,6F81-5844-456A,Licensing Fee for Windows Server 2019 Datacenter Edition (CPU cost),9597-C24E-C305,"2,687.473",hour,123.62,0.00,0.00,0.00,123.623389,123.62,-10%
Compute Engine,6F81-5844-456A,N2 Instance Core running in Virginia,5571-8F21-9137,"4,603.288",hour,163.90,-40.98,0.00,0.00,122.924714,122.92,12%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - 1 vCPU + 3.75GB RAM in APAC,B3AA-55F4-AB74,"2,016",hour,136.28,-19.08,0.00,0.00,117.202176,117.20,-10%
Notebooks,D73B-5EEA-8215,Workbench Instances CPU for GCE usage - N1 Instance Cores in asia-east1,C072-9426-66EA,"3,100.099",hour,136.16,-19.06,0.00,0.00,117.100553,117.10,-9%
